,PhoneNumber-SubscriberIdentityNumber,Duration,Activity,ErrorCode
364,1526695140-345282306547698,14.0,Internet Data-,
365,1526695141-345282316547699,13.0,Internet Data-,
366,1526695142-345282326547700,10.0,Internet Data-,N
367,1526695143-345282336547701,14.0,Internet Data-,
368,1526695144-345282346547702,13.0,Internet Data-,
369,1526695145-345282356547703,1.0,Internet Data-222,
370,1526695146-345282366547704,1.0,Internet Data-222,
371,1526695147-345282376547705,1.0,Internet Data-222,
372,1526695148-345282386547706,1.0,Internet Data-222,
373,1526695149-345282396547707,1.0,Internet Data-222,
374,1526695150-345282406547708,1.0,Internet Data-222,
375,1526695151-345282416547709,1.0,Internet Data-222,
376,1526695152-345282426547710,1.0,Internet Data-222,
377,1526695153-345282436547711,1.0,Internet Data-222,
378,1526695154-345282446547712,1.0,Internet Data-222,
379,1526695155-345282456547713,1.0,Internet Data-222,
380,1526695156-345282466547714,1.0,Internet Data-222,
381,1526695157-345282476547715,1.0,Internet Data-222,
382,1526695158-345282486547716,1.0,Internet Data-222,
383,1526695159-345282496547717,1.0,Internet Data-222,
384,1526695160-345282506547718,1.0,Internet Data-222,
385,1526695161-345282516547719,1.0,Internet Data-222,
386,1526695162-345282526547720,1.0,Internet Data-222,
387,1526695163-345282536547721,1.0,Internet Data-222,
388,1526695164-345282546547722,1.0,Internet Data-222,
389,1526695165-345282556547723,1.0,Internet Data-222,
390,1526695166-345282566547724,1.0,Internet Data-222,
391,1526695167-345282576547725,1.0,Internet Data-222,N
392,1526695168-345282586547726,1.0,Internet Data-222,
393,1526695169-345282596547727,1.0,Internet Data-222,
394,1526695170-345282606547728,1.0,Internet Data-222,
395,1526695171-345282616547729,1.0,Internet Data-222,
396,1526695172-345282626547730,1.0,Internet Data-222,
397,1526695173-345282636547731,1.0,Internet Data-222,
398,1526695174-345282646547732,1.0,Internet Data-222,
399,1526695175-345282656547733,15.0,Internet Data-,
400,1526695176-345282666547734,15.0,Internet Data-,
401,1526695177-345282676547735,15.0,Internet Data-,
402,1526695178-345282686547736,15.0,Internet Data-,
403,1526695179-345282696547737,15.0,Internet Data-,
404,1526695180-345282706547738,100.0,Internet Data-,
405,1526695181-345282716547739,11.0,Internet Data-,
406,1526695182-345282726547740,14.0,Internet Data-,
407,1526695183-345282736547741,1.0,Internet Data-222,
408,1526695184-345282746547742,1.0,Internet Data-222,
409,1526695185-345282756547743,1.0,Internet Data-,
410,1526695186-345282766547744,0.0,Internet Data-222,
411,1526695187-345282776547745,11.0,Internet Data-,
412,1526695188-345282786547746,13.0,Internet Data-,
413,1526695189-345282796547747,12.0,Internet Data-,
414,1526695190-345282806547748,15.0,Internet Data-,
415,1526695191-345282816547749,16.0,Internet Data-,
416,1526695192-345282826547750,17.0,Internet Data-,
417,1526695193-345282836547751,18.0,Internet Data-,
418,1526695194-345282846547752,19.0,Internet Data-,
419,1526695195-345282856547753,20.0,Internet Data-,
420,1526695196-345282866547754,11.0,Internet Data-,
421,1526695197-345282876547755,13.0,Internet Data-,
422,1526695198-345282886547756,12.0,Internet Data-,
423,1526695199-345282896547757,15.0,Internet Data-,
424,1526695200-345282906547758,16.0,Internet Data-,
425,1526695201-345282916547759,17.0,Internet Data-,
426,1526695202-345282926547760,18.0,Internet Data-,N
427,1526695203-345282936547761,19.0,Internet Data-,
428,1526695204-345282946547762,20.0,Internet Data-,
429,1526695205-345282956547763,11.0,Internet Data-,
430,1526695206-345282966547764,13.0,Internet Data-,
431,1526695207-345282976547765,12.0,Internet Data-,
432,1526695208-345282986547766,15.0,Internet Data-,
433,1526695209-345282996547767,16.0,Internet Data-,
434,1526695210-345283006547768,17.0,Internet Data-,
435,1526695211-345283016547769,18.0,Internet Data-,
436,1526695212-345283026547770,19.0,Internet Data-,
437,1526695213-345283036547771,20.0,Internet Data-,
438,1526695214-345283046547772,11.0,Internet Data-,
439,1526695215-345283056547773,13.0,Internet Data-,
440,1526695216-345283066547774,12.0,Internet Data-,
441,1526695217-345283076547775,15.0,Internet Data-,
442,1526695218-345283086547776,16.0,Internet Data-,
443,1526695219-345283096547777,17.0,Internet Data-,
444,1526695220-345283106547778,18.0,Internet Data-,
445,1526695221-345283116547779,19.0,Internet Data-,
446,1526695222-345283126547780,20.0,Internet Data-,
447,1526695223-345283136547781,11.0,Internet Data-,
448,1526695224-345283146547782,13.0,Internet Data-,
449,1526695225-345283156547783,12.0,Internet Data-,N
450,1526695226-345283166547784,15.0,Internet Data-,
451,1526695227-345283176547785,16.0,Internet Data-,
452,1526695228-345283186547786,17.0,Internet Data-,
453,1526695229-345283196547787,18.0,Internet Data-,
454,1526695230-345283206547788,19.0,Internet Data-,
455,1526695231-345283216547789,20.0,Internet Data-,
456,1526695232-345283226547790,11.0,Internet Data-,
457,1526695233-345283236547791,13.0,Internet Data-,
458,1526695234-345283246547792,12.0,Internet Data-,
459,1526695235-345283256547793,15.0,Internet Data-,
460,1526695236-345283266547794,16.0,Internet Data-,
461,1526695237-345283276547795,17.0,Internet Data-,
462,1526695238-345283286547796,18.0,Internet Data-,
463,1526695239-345283296547797,19.0,Internet Data-,
464,1526695240-345283306547798,20.0,Internet Data-,
465,1526695241-345283316547799,11.0,Internet Data-,
466,1526695242-345283326547800,13.0,Internet Data-,
467,1526695243-345283336547801,12.0,Internet Data-,
468,1526695244-345283346547802,15.0,Internet Data-,
469,1526695245-345283356547803,16.0,Internet Data-,
470,1526695246-345283366547804,17.0,Internet Data-,
471,1526695247-345283376547805,18.0,Internet Data-,
472,1526695248-345283386547806,19.0,Internet Data-,
473,1526695249-345283396547807,20.0,Internet Data-,
474,1526695250-345283406547808,11.0,Internet Data-,
475,1526695251-345283416547809,13.0,Internet Data-,
476,1526695252-345283426547810,12.0,Internet Data-,
477,1526695253-345283436547811,15.0,Internet Data-,
478,1526695254-345283446547812,16.0,Internet Data-,
479,1526695255-345283456547813,17.0,Internet Data-,N
480,1526695256-345283466547814,18.0,Internet Data-,
481,1526695257-345283476547815,19.0,Internet Data-,
482,1526695258-345283486547816,20.0,Internet Data-,
483,1526695259-345283496547817,11.0,Internet Data-,
484,1526695260-345283506547818,13.0,Internet Data-,
485,1526695261-345283516547819,12.0,Internet Data-,
486,1526695262-345283526547820,15.0,Internet Data-,
487,1526695263-345283536547821,16.0,Internet Data-,
488,1526695264-345283546547822,17.0,Internet Data-,
489,1526695265-345283556547823,18.0,Internet Data-,
490,1526695266-345283566547824,19.0,Internet Data-,
491,1526695267-345283576547825,20.0,Internet Data-,
492,1526695268-345283586547826,11.0,Internet Data-,
493,1526695269-345283596547827,13.0,Internet Data-,
494,1526695270-345283606547828,12.0,Internet Data-,
495,1526695271-345283616547829,15.0,Internet Data-,
496,1526695272-345283626547830,16.0,Internet Data-,
497,1526695273-345283636547831,17.0,Internet Data-,
498,1526695274-345283646547832,18.0,Internet Data-,N
499,1654788999-345278656547333,2.0,Phone Call-,
500,1888777222-345278666547334,0.0,SMS-,
501,1122765445-345278676547335,10.0,Internet Data-,
502,1356753668-345278686547336,1.0,Phone Call-111,
503,1590741891-345278696547337,2.0,Phone Call-111,
504,1824730114-345278706547338,3.0,Phone Call-111,
505,1058718337-345278716547339,4.0,Phone Call-111,
506,1292706560-345278726547340,5.0,Phone Call-,
507,1526694783-345278736547341,12.0,Phone Call-,
508,1526694784-345278746547342,11.0,Phone Call-,
509,1526694785-345278756547343,10.0,Phone Call-,
510,1526694786-345278766547344,2.0,Phone Call-,
511,1526694787-345278776547345,22.0,Phone Call-,
512,1526694788-345278786547346,25.0,Phone Call-,
513,1526694789-345278796547347,1.0,Phone Call-,
514,1526694790-345278806547348,3.0,Phone Call-,
515,1526694791-345278816547349,4.0,Phone Call-,
516,1526694792-345278826547350,5.0,Phone Call-,
517,1526694793-345278836547351,8.0,Phone Call-,
518,1526694794-345278846547352,7.0,Phone Call-,
519,1526694795-345278856547353,9.0,Phone Call-,
520,1526694796-345278866547354,10.0,Phone Call-,
521,1526694797-345278876547355,11.0,Phone Call-,
522,1526694798-345278886547356,3.0,Phone Call-111,
523,1526694799-345278896547357,3.0,Phone Call-111,
524,1526694800-345278906547358,3.0,Phone Call-111,
525,1526694801-345278916547359,3.0,Phone Call-111,
526,1526694802-345278926547360,3.6,Phone Call-,
527,1526694803-345278936547361,3.5,Phone Call-,
528,1526694804-345278946547362,3.2,Phone Call-,
529,1526694805-345278956547363,3.1,Phone Call-,
530,1526694806-345278966547364,4.2,Phone Call-,
531,1526694807-345278976547365,4.3,Phone Call-,
532,1526694808-345278986547366,4.5,Phone Call-,
533,1526694809-345278996547367,2.0,Phone Call-,
534,1526694810-345279006547368,3.0,Phone Call-,
535,1526694811-345279016547369,10.0,Internet Data-,
536,1526694812-345279026547370,15.0,Internet Data-,
537,1526694813-345279036547371,15.0,Internet Data-,
538,1526694814-345279046547372,18.0,Internet Data-,
539,1526694815-345279056547373,1.0,Internet Data-222,
540,1526694816-345279066547374,13.0,Internet Data-,
541,1526694817-345279076547375,11.0,Internet Data-,
542,1526694818-345279086547376,1.0,Internet Data-222,
543,1526694819-345279096547377,15.0,Internet Data-,
544,1526694820-345279106547378,55.0,Internet Data-,
545,1526694821-345279116547379,120.0,Internet Data-,
546,1526694822-345279126547380,14.0,Internet Data-,
547,1526694823-345279136547381,13.0,Internet Data-222,
548,1526694824-345279146547382,10.0,Internet Data-,
549,1526694825-345279156547383,14.0,Internet Data-,
550,1526694826-345279166547384,13.0,Internet Data-,
551,1526694827-345279176547385,10.0,Internet Data-,
552,1526694828-345279186547386,14.0,Internet Data-,
553,1526694829-345279196547387,13.0,Internet Data-,
554,1526694830-345279206547388,10.0,Internet Data-,
555,1526694831-345279216547389,14.0,Internet Data-,
556,1526694832-345279226547390,13.0,Internet Data-,
557,1526694833-345279236547391,10.0,Internet Data-,
558,1526694834-345279246547392,14.0,Internet Data-,
559,1526694835-345279256547393,13.0,Internet Data-,
